Code,Name_KR,Name_EN,Category(존재),Subcategory,Main_Function(기능),Ambiguity,Note,Description(사전식 설명),CHECK_DUP,Has_Rule,Rule_ID,,intensity,Volatility,Dominance,Pairing,Avoid_pairing,Usage_position,,,,,
000,염도,Salty,Salty,Salty (염도),Salty,-,상위군,"짠맛을 통해 전체 맛의 중심을 세우고, 다른 맛이 또렷하게 드러나도록 정리해주는 기준 기능",-,-,-,,중요,향날림정도,맛지배력,궁합,충돌,초중마무리,,,,,
001,소금,Salt,Salty,General Salt,Salty,-,대표 노드,사용자가 일반적으로 입력하는 대표 염도 재료명으로 다양한 소금 계열의 공통 개념,,,,,,,,,,,,,,,
010,가는 소금,Fine Salt,Salty,Fine Salt (미세 소금),Salty,-,상위군,"짠맛이 빠르게 퍼져 전체에 고르게 간을 만들고, 재료 내부까지 균일하게 맛의 중심을 잡아주는 기본형 소금",-,-,-,,,,,,,,,,,,
011,정제 가는 소금,Refined Fine Salt,Salty,Fine Salt (미세 소금),Salty,-,기준형,"짠맛이 빠르고 명확하게 드러나며, 다른 맛을 방해하지 않고 전체 간을 깨끗하게 정리하는 정제형 미세 소금",-,-,-,,,,,,,,,,,,
012,천일 가는 소금,Fine Sea Salt,Salty,Fine Salt (미세 소금),Salty,-,원천형,바닷물에서 얻은 가는 입자의 소금으로 미네랄을 포함하며 부드러운 염도를 제공,-,-,-,,,,,,,,,,,,
013,암염 가는 소금,Fine Rock Salt,Salty,Fine Salt (미세 소금),Salty,-,원천형,지하 암염에서 채취한 가는 입자의 소금으로 비교적 순수한 염도를 제공,-,-,-,,,,,,,,,,,,
014,기능성 가는 소금,Functional Fine Salt,Salty,Fine Salt (미세 소금),Salty,-,상위군,첨가물 또는 가공을 통해 맛·기능이 강화된 가는 소금 계열,-,-,-,,,,,,,,,,,,
014.01,맛소금,Seasoned Salt,Salty,Functional Fine Salt (기능성 가는 소금),Salty+Umami,Salty vs Umami,감칠 성분 포함,MSG 등 감칠 성분이 첨가되어 단순 염도 이상의 풍미를 제공하는 기능성 가는 소금,-,-,-,,,,,,,,,,,,
014.02,구운소금,Roasted Salt,Salty,Functional Fine Salt (기능성 가는 소금),Salty,-,가공형,열처리를 통해 수분과 일부 향미 특성이 변화한 기능성 가는 소금,-,-,-,,,,,,,,,,,,
020,굵은 소금,Coarse Salt,Salty,Coarse Salt (굵은 소금),Salty,-,상위군,입자가 크고 천천히 녹아 조리 중 간 조절과 절임에 적합한 굵은 소금 계열,-,-,-,,,,,,,,,,,,
021,정제 굵은 소금,Coarse Refined Salt,Salty,Coarse Salt (굵은 소금),Salty,-,기준형,입자가 굵고 천천히 녹아 조리 중 간 조절과 절임에 적합한 정제 굵은 소금,-,-,-,,,,,,,,,,,,
022,천일 굵은 소금,Coarse Sea Salt,Salty,Coarse Salt (굵은 소금),Salty,-,원천형,바닷물에서 얻은 굵은 입자의 소금으로 미네랄을 포함하며 절임과 조리에 적합,-,-,-,,,,,,,,,,,,
023,암염 굵은 소금,Coarse Rock Salt,Salty,Coarse Salt (굵은 소금),Salty,-,원천형,지하 암염에서 채취한 굵은 입자의 소금으로 비교적 순수한 염도를 제공하며 절임과 조리에 적합,-,-,-,,,,,,,,,,,,
024,특수 굵은 소금,Specialty Coarse Salt,Salty,Coarse Salt (굵은 소금),Salty,-,상위군,"훈연, 향 첨가, 색 변화 등 특수 가공 또는 특성을 가진 굵은 소금 계열",-,-,-,,,,,,,,,,,,
030,플레이크 소금,Flake Salt,Salty,Flake Salt (플레이크 소금),Salty,-,상위군,얇고 넓은 결정 구조로 바삭한 식감과 마무리 간에 적합한 소금 계열,-,-,-,,,,,,,,,,,,
031,씨 솔트 플레이크,Sea Salt Flakes,Salty,Flake Salt (플레이크 소금),Salty,-,원천형,바닷물에서 형성된 얇고 넓은 결정 구조의 플레이크 소금으로 바삭한 식감과 마무리 간에 적합,-,-,-,,,,,,,,,,,,
032,피라미드 플레이크 소금,Pyramid Flake Salt,Salty,Flake Salt (플레이크 소금),Salty,-,결정형,피라미드 형태의 결정 구조를 가진 플레이크 소금으로 바삭한 식감과 시각적 효과가 뛰어난 마무리용 소금,-,-,-,,,,,,,,,,,,
033,얇은 플레이크 소금,Thin Flake Salt,Salty,Flake Salt (플레이크 소금),Salty,-,결정형,매우 얇고 가벼운 결정 구조로 빠르게 녹으며 섬세한 식감과 마무리 간에 적합한 플레이크 소금,-,-,-,,,,,,,,,,,,
