code,name_kr,salty,umami,acid,sweet,bitter,heat,herb,spice,lipid,texture,note,impact_speed,Lasting_power
000,염도,100 ,0,0,0,0,0,0,0,0,5,염도 카테고리 대표값,,
001,소금,95,0,0,0,0,0,0,0,0,5,기본적인 염도를 형성하는 대표 조미 재료,,
010,가는 소금,95,0,0,0,0,0,0,0,0,10,빠르게 용해되어 전체에 균일하게 퍼지는 염도,,
011,정제 가는 소금,100,0,0,0,0,0,0,0,0,5,가장 순수하고 직선적인 염도 전달,,
012,천일 가는 소금,95,0,0,0,0,0,0,0,0,10,미네랄로 인해 약간의 복합 인상이 있는 염도,,
013,암염 가는 소금,95,0,0,0,0,0,0,0,0,10,단단하고 직선적인 염도 특성,,
014,기능성 가는 소금,90,5,0,0,0,0,0,0,0,10,첨가 성분으로 보조 기능이 부여된 염도,,
014.01,맛소금,85,20,0,0,0,0,0,5,0,10,감칠 성분이 결합된 복합 염도,,
014.02,구운소금,90,0,0,0,5,0,0,0,0,10,열처리로 구수함과 약한 쓴맛이 동반된 염도,,
020,굵은 소금,95,0,0,0,0,0,0,0,0,15,입자감으로 국소적으로 강하게 전달되는 염도,,
021,정제 굵은 소금,100,0,0,0,0,0,0,0,0,10,순수 염도를 입자 형태로 전달,,
022,천일 굵은 소금,95,0,0,0,0,0,0,0,0,15,미네랄과 입자감이 함께 존재하는 염도,,
023,암염 굵은 소금,95,0,0,0,0,0,0,0,0,15,단단한 결정감과 잔존감이 있는 염도,,
024,특수 굵은 소금,90,5,0,0,5,0,0,0,0,20,훈연/가향 등으로 보조 기능이 추가된 염도,,
030,플레이크 소금,90,0,0,0,0,0,0,0,0,20,마감용으로 사용되는 얇고 바삭한 염도,,
031,씨 솔트 플레이크,90,0,0,0,0,0,0,0,0,20,바다 기반의 바삭한 마감 염도,,
032,피라미드 플레이크 소금,90,0,0,0,0,0,0,0,0,25,형태감이 강해 시각적/물리적 마감 효과 큼,,
033,얇은 플레이크 소금,90,0,0,0,0,0,0,0,0,20,빠르게 부서지며 퍼지는 마감 염도,,
034,미네랄 플레이크 소금,90,0,0,0,5,0,0,0,0,25,미네랄로 인해 약한 복합 인상이 있는 마감 염도,,
040,액상 소금,90,0,0,0,0,0,0,0,0,5,액상 형태로 균일하게 분산되는 염도,,
041,염수,85,0,0,0,0,0,0,0,0,0,물에 용해된 기본 염도 형태,,
042,액상 소금 추출물,90,5,0,0,0,0,0,0,0,0,농축/추출을 통해 형성된 액상 염도,,
043,향미 액상 소금,80,5,0,0,0,0,5,5,0,0,향신 요소가 결합된 액상 염도,,
044,기능성 액상 소금,85,10,0,0,0,0,5,5,0,0,기능성 성분이 추가된 복합 액상 염도,,
100,감칠맛,0,100,0,0,0,0,0,0,0,5,감칠 카테고리 대표값,,
110,발효 베이스 감칠,5,90,5,5,0,0,0,0,0,10,발효를 통해 형성되는 깊은 감칠 베이스,,
111,간장,10,90,5,5,0,0,0,0,0,5,염도와 감칠을 함께 전달하는 대표 발효 액상 조미료,,
111.01,진간장,10,90,5,5,0,0,0,0,0,5,진한 색과 균형형 감칠을 가진 간장,,
111.02,국간장,15,85,5,0,0,0,0,0,0,5,염도 비중이 높고 국물 베이스에 적합한 간장,,
111.03,양조간장,10,90,5,5,0,0,0,0,0,5,발효향과 감칠 균형이 좋은 양조형 간장,,
111.04,기타 간장,10,85,5,5,0,0,0,0,0,5,기타 유형의 간장군,,
112,발효 콩 페이스트,20,75,5,5,10,0,5,5,5,45,콩 발효 기반의 깊은 감칠맛과 숙성 풍미를 가진 페이스트 계열,,
112.01,된장,10,90,5,0,5,0,0,0,0,15,콩 발효 기반의 묵직한 감칠 페이스트,,
112.02,미소,5,90,5,5,0,0,0,0,0,10,부드럽고 매끈한 발효 감칠 페이스트,,
112.03,기타 발효장,10,85,5,0,5,0,0,0,0,15,기타 발효 장류,,
113,액젓,15,95,0,0,0,0,0,0,0,5,강한 감칠과 염도를 가진 액상 발효 조미료,,
113.01,멸치액젓,15,95,0,0,0,0,0,0,0,5,멸치 기반의 직선적이고 강한 감칠,,
113.02,까나리액젓,15,95,0,0,0,0,0,0,0,5,까나리 기반의 강한 해산 감칠,,
113.03,새우액젓,35,90,0,0,5,0,0,5,5,20,새우 발효 기반의 강한 감칠맛과 해산물 풍미를 가진 액젓,,
113.04,베트남 피쉬소스,40,95,0,5,5,0,0,5,5,15,동남아 스타일의 강한 발효 어류 감칠 조미액,,
113.05,기타 액젓,35,85,0,0,5,0,0,5,5,20,어류 발효 기반의 감칠 조미 액체 재료,,
114,발효 장 페이스트,10,85,10,10,0,5,0,0,0,15,발효장에 추가 맛축이 결합된 복합 페이스트,,
114.01,고추장,10,85,10,15,0,5,0,0,0,15,감칠에 단맛과 매운맛이 더해진 발효장,,
114.02,삼발소스,10,85,10,10,0,10,0,5,0,10,발효감과 매운 향신 자극이 결합된 소스,,
114.03,초고추장,10,80,20,15,0,5,0,0,0,10,산미와 단맛이 강화된 고추장 계열,,
114.04,쌈장,35,75,5,10,10,10,5,10,10,55,된장과 고추장을 기반으로 한 복합 발효 장 페이스트,,
120,동물성 베이스 감칠,5,85,0,0,0,0,0,0,5,10,동물성 재료에서 우러나는 묵직한 감칠 베이스,,
121,육수/스톡,5,85,0,0,0,0,0,0,5,5,액상 기반의 동물성 감칠 베이스,,
121.01,닭 육수,5,85,0,0,0,0,0,0,5,5,가볍고 범용적인 동물성 감칠,,
